Alpha,Beta,Evaporation Rate,Number of Ants,Trial,Best Distance
0.5,2.0,0.7,10,9,211.86912597118442
0.5,2.0,0.7,10,10,211.86912597118442
0.5,2.0,0.7,10,11,211.86912597118442
0.5,2.0,0.7,10,12,211.86912597118442
0.5,2.0,0.7,10,13,211.86912597118442
0.5,2.0,0.7,10,14,211.86912597118442
0.5,2.0,0.7,10,15,211.86912597118442
0.5,2.0,0.7,10,16,211.86912597118442
0.5,2.0,0.7,10,17,211.86912597118442
0.5,2.0,0.7,10,18,211.86912597118442
0.5,2.0,0.7,10,19,211.86912597118442
0.5,2.0,0.7,10,20,211.86912597118442
0.5,2.0,0.7,10,21,211.86912597118442
0.5,2.0,0.7,10,22,211.86912597118442
0.5,2.0,0.7,10,23,211.86912597118442
0.5,2.0,0.7,10,24,211.86912597118442
0.5,2.0,0.7,10,25,211.86912597118442
0.5,2.0,0.7,10,26,211.86912597118442
0.5,2.0,0.7,10,27,211.86912597118442
0.5,2.0,0.7,10,28,211.86912597118442
0.5,2.0,0.7,10,29,211.86912597118442
0.5,2.0,0.7,10,30,211.86912597118442
0.5,2.0,0.7,20,1,211.86912597118442
0.5,2.0,0.7,20,2,211.86912597118442
0.5,2.0,0.7,20,3,211.86912597118442
0.5,2.0,0.7,20,4,211.86912597118442
0.5,2.0,0.7,20,5,211.86912597118442
0.5,2.0,0.7,20,6,211.86912597118442
0.5,2.0,0.7,20,7,211.86912597118442
0.5,2.0,0.7,20,8,211.86912597118442
0.5,2.0,0.7,20,9,211.86912597118442
